ISBN	Title	Author	Length	Discount	Instock	List Price	Editor	Category													
0133791513	"Concurrent Programming in Android LiveLessons (Video Training), Downloadable Version"	Schmidt	7	x	12/01/2016	$299.99	"Phifer, Julie"	Mobile Programming													
	Java Virtual Machine (JVM) G1 Garbage Collection LiveLessons (Video Training)	Beckwith		x	08/31/2016	$199.99	"Phifer, Julie"	Java Programming													
	C# Fundamentals LiveLessons Part III: Intermediate Topics	Deitel		x	08/29/2016	$149.99	"Taub, Mark"	Microsoft Programming													
013459391X	Introduction to Java for Android Development LiveLessons (Video Training)	Clifton		x	08/15/2016	$149.99	"Lewin, Laura"	Java Programming													
	C# Fundamentals LiveLessons Part II: Object-Oriented Programming	Deitel		x	08/08/2016	$149.99	"Taub, Mark"	Microsoft Programming													
	Microservices LiveLessons (Workshop)	Placeholder		x	08/05/2016	$199.99	"Phifer, Julie"	Networking													
0134578325	Agile Foundations LiveLessons	Layton		x	07/29/2016	$199.99	"Lincoln, Denise"	Agile													
	Java Cloud Native Development LiveLessons (Video Training)	Placeholder		x	07/29/2016	$299.99	"Phifer, Julie"	Java Programming													
	Linux Security Complete Video Course	van Vugt		x	07/29/2016	$249.99	"Lincoln, Denise"	Linux/Unix/Open Source													
0134589165	Lean Principles for Scrum LiveLessons (Video Training)	Norman		x	07/11/2016	$299.99	"Phifer, Julie"	Agile													
078975794X	CCNP Routing and Switching SWITCH 300-115 Exam Prep Video LiveLessons	Pardasani		y	07/08/2016	$199.99	"Lincoln, Denise"	Cisco Certification													
1587144581	CCENT ICND1 100-101 Exam Prep Workshop	Odom		y	07/01/2016	$149.99	"Bartow, Brett"	Cisco Certification													
0134218302	Python Master Class LiveLessons	Beazley		x	07/01/2016	$299.99	"Williams-Cauley, Debra"														
0789758075	CompTIA Advanced Security Practitioner (CASP) CAS-002 LiveLessons	McMillan		x	06/30/2016	$299.99	"Lincoln, Denise"	CompTIA Certification													
0789757354	VCP6-DCV (Exam #2VO-621) Complete Video Course	van Vugt		x	06/17/2016	$299.99	"Lincoln, Denise"	Networking													
0134575431	MEAN Web Development Workshop  (Video Training)	Wandschneider		x	06/15/2016	$199.99	"Taber, Mark"	Web Development													
0134410068	Oracle DBA Fundamentals Complete Video Course	Freeman		x	06/15/2016	$399.99	"Phifer, Julie"	Database													
	C# Fundamentals LiveLessons Part I:  Introduction to Language Basics	Deitel		x	06/13/2016	$149.99	"Taub, Mark"	Microsoft Programming													
0134581857	Bash Scripting Complete Video Course	van Vugt		x	06/10/2016	$399.99	"Lincoln, Denise"	Linux/Unix/Open Source													
0134589300	Beginning Linux System Administration LiveLessons	van Vugt		x	06/10/2016	$199.99	"Lincoln, Denise"	Linux/Unix/Open Source													
0134585879	Advanced Bash Scripting LiveLessons	van Vugt		x	06/06/2016	$199.99	"Lincoln, Denise"	Linux/Unix/Open Source													
0789757907	"Microsoft Exchange 2016 LiveLessons (Video Training), Downloadable Video"	Posey		x	06/03/2016	$199.99	"Norman, Laura"	Microsoft Servers													
0134578066	"Leading SAFe (Scaled Agile Framework) 4.0 LiveLessons (Video Training), 2nd Edition"	Leffingwell		x	05/30/2016	$299.99	"Phifer, Julie"	Agile													
0789755270	vRealize Automation LiveLessons	O'Doherty		x	05/30/2016	$199.99	"Lincoln, Denise"	Networking													
1587205939	Cisco FirePOWER and Advanced Malware Protection LiveLessons	Santos		x	05/25/2016	$199.99	"Lincoln, Denise"	Cisco Certification													
0789757699	CCNA Collaboration LiveLessons	Wallace		x	05/11/2016	$199.99	"Bartow, Brett"	Cisco Certification													
0789757702	CCNP Collaboration LiveLessons	Wallace		x	05/11/2016	$199.99	"Bartow, Brett"	Cisco Certification													
0134510569	Java Concurrency LiveLessons (Video Training)	Schmidt		x	05/02/2016	$299.99	"Phifer, Julie"	Java Programming													
0134398815	Pandas LiveLessons	Cherny	nyr 7	x	05/02/2016	$299.99	"Williams-Cauley, Debra"	Big Data													
1587205920	Cisco NetFlow LiveLessons	Santos		x	04/25/2016	$199.99	"Lincoln, Denise"	Cisco Certification													
0789757303	CompTIA A+ 220-902 Complete Video Course	Prowse		x	04/18/2016	$299.99	"Lincoln, Denise"	CompTIA Certification													
1587144662	Intermediate System to Intermediate System (IS-IS) Routing Protocol LiveLessons	White		y	04/18/2016	$249.99	"Bartow, Brett"	Networking													
0134456513	Linux Command Line Complete Video Course	Lauber		x	04/18/2016	$199.99	"Phifer, Julie"	Linux/Unix/Open Source													
0134541723	Bash Scripting Fundamentals LiveLessons	van Vugt		x	04/15/2016	$149.99	"Lincoln, Denise"	Linux/Unix/Open Source													
0134510577	Scala for the Impatient LiveLessons (Video Training)	Horstmann		x	04/13/2016	$199.99	"Phifer, Julie"	Java Programming													
078975617X	PHR/SPHR Certification Exams: Insight from the Experts	Winterfield	7	y	03/31/2016	$199.99	"Brown, Betsy"	Other Non-Technical													
0134540573	Core Java Complete Video Course (Video Training)	Horstmann		x	03/23/2016	$299.99	"Phifer, Julie"	Java Programming													
0134433939	Front-End Web Development Complete Video Course	Hall / Kyrnin / Ballard / Bell		x	03/22/2016	$199.99	"Phifer, Julie"	Web Development													
0134172248	"Advanced R Programming LiveLessons, Part II"	Lander		y	03/15/2016	$299.99	"Williams-Cauley, Debra"	Big Data													
0789757338	vSphere 6 Foundations (Exam #2V0-620) Complete Video Course	van Vugt		x	02/26/2016	$249.99	"Lincoln, Denise"	Networking													
0134467159	VMware NSX Fundamentals LiveLessons	Fuller / Burke / la Quiante		x	02/15/2016	$299.99	"Lincoln, Denise"	Networking													
